Date,Actual,Predicted
2024-08-14,1290.0,1306.9924
2024-08-15,1340.0,1300.5098
2024-08-16,1335.0,1326.2096
2024-08-19,1325.0,1339.1559
2024-08-20,1325.0,1339.1166
2024-08-21,1320.0,1337.2078
2024-08-22,1340.0,1332.3658
2024-08-23,1340.0,1340.9288
2024-08-26,1340.0,1346.1974
2024-08-27,1335.0,1348.676
2024-08-28,1335.0,1346.5074
2024-08-29,1300.0,1344.7349
2024-08-30,1300.0,1323.3829
2024-09-02,1330.0,1311.1794
2024-09-03,1335.0,1323.2412
2024-09-04,1340.0,1334.9968
2024-09-05,1340.0,1344.5431
2024-09-06,1340.0,1349.004
2024-09-09,1340.0,1350.3091
2024-09-10,1315.0,1350.1226
2024-09-11,1330.0,1334.9893
2024-09-12,1325.0,1334.724
2024-09-13,1325.0,1332.8257
2024-09-17,1330.0,1332.2765
2024-09-18,1320.0,1335.2506
2024-09-19,1320.0,1331.4084
2024-09-20,1320.0,1329.0387
2024-09-23,1335.0,1327.9166
2024-09-24,1335.0,1336.2567
2024-09-25,1345.0,1341.3273
2024-09-26,1325.0,1349.4734
2024-09-27,1325.0,1341.8953
2024-09-30,1325.0,1336.5392
2024-10-01,1305.0,1333.6241
2024-10-02,1300.0,1320.9008
2024-10-03,1300.0,1311.1316
2024-10-04,1300.0,1306.7316
2024-10-07,1305.0,1305.561
2024-10-08,1305.0,1308.7509
2024-10-09,1305.0,1311.1489
2024-10-10,1305.0,1312.5193
2024-10-11,1305.0,1313.1033
2024-10-14,1295.0,1313.2338
2024-10-15,1300.0,1307.4045
2024-10-16,1295.0,1306.8197
2024-10-17,1285.0,1304.0526
2024-10-18,1285.0,1296.9413
2024-10-21,1295.0,1293.1395
2024-10-22,1290.0,1297.4161
2024-10-23,1275.0,1297.6963
2024-10-24,1285.0,1289.1747
2024-10-25,1280.0,1289.8835
2024-10-28,1280.0,1288.117
2024-10-29,1265.0,1287.3387
2024-10-30,1265.0,1278.538
2024-10-31,1260.0,1273.5695
2024-11-01,1245.0,1268.6156
2024-11-04,1245.0,1257.9225
2024-11-05,1240.0,1252.4094
2024-11-06,1220.0,1247.5579
2024-11-07,1220.0,1234.3346
2024-11-08,1230.0,1227.3948
2024-11-11,1205.0,1230.4738
2024-11-12,1205.0,1219.3762
2024-11-13,1210.0,1213.0929
2024-11-14,1200.0,1213.2653
2024-11-15,1200.0,1208.729
2024-11-18,1200.0,1206.4637
2024-11-19,1200.0,1205.6923
2024-11-20,1215.0,1205.6833
2024-11-21,1230.0,1214.4227
2024-11-22,1210.0,1228.2461
2024-11-25,1205.0,1224.4324
2024-11-26,1200.0,1217.8367
2024-11-28,1200.0,1210.7538
2024-11-29,1215.0,1206.9696
2024-12-02,1230.0,1213.9998
2024-12-03,1210.0,1227.3634
2024-12-04,1210.0,1223.6669
2024-12-05,1200.0,1220.1829
2024-12-06,1200.0,1212.1962
2024-12-09,1200.0,1207.6462
2024-12-10,1205.0,1205.7129
2024-12-11,1200.0,1208.1211
2024-12-12,1205.0,1207.2174
2024-12-13,1200.0,1209.5093
2024-12-16,1200.0,1208.1262
2024-12-17,1200.0,1207.1406
2024-12-18,1200.0,1206.601
2024-12-19,1200.0,1206.3872
2024-12-20,1200.0,1206.3539
2024-12-23,1200.0,1206.3933
2024-12-24,1200.0,1206.4454
2024-12-27,1200.0,1206.4854
2024-12-30,1200.0,1206.5085
2025-01-02,1200.0,1206.5188
2025-01-03,1200.0,1206.5212
2025-01-06,1215.0,1206.5201
2025-01-07,1275.0,1214.9989
2025-01-08,1260.0,1254.0875
2025-01-09,1230.0,1268.0836
2025-01-10,1205.0,1255.565
2025-01-13,1205.0,1231.1471
2025-01-14,1230.0,1216.5759
2025-01-15,1210.0,1224.1362
2025-01-16,1235.0,1219.4353
2025-01-17,1210.0,1231.1128
2025-01-20,1245.0,1224.3826
2025-01-21,1240.0,1239.4854
2025-01-22,1205.0,1245.8435
2025-01-23,1230.0,1228.5299
2025-01-24,1205.0,1231.4169
2025-01-30,1200.0,1219.9474
2025-01-31,1210.0,1210.5298
2025-02-03,1200.0,1211.6614
2025-02-04,1200.0,1207.9606
2025-02-05,1200.0,1206.2252
2025-02-06,1200.0,1205.7097
2025-02-07,1200.0,1205.7817
2025-02-10,1210.0,1206.0363
2025-02-11,1190.0,1211.9274
2025-02-12,1190.0,1204.1487
2025-02-13,1190.0,1199.0167
2025-02-14,1200.0,1196.4044
2025-02-17,1200.0,1201.1337
2025-02-18,1200.0,1204.4686
2025-02-19,1190.0,1206.2717
2025-02-20,1190.0,1201.3246
2025-02-21,1190.0,1198.0555
2025-02-24,1190.0,1196.393
2025-02-25,1180.0,1195.8127
2025-02-26,1180.0,1190.1521
2025-02-27,1190.0,1186.9603
2025-02-28,1180.0,1191.256
2025-03-03,1200.0,1188.7239
2025-03-04,1185.0,1198.3374
2025-03-05,1185.0,1195.7859
2025-03-06,1185.0,1193.4993
2025-03-07,1155.0,1192.0151
2025-03-10,1155.0,1174.3904
2025-03-11,1200.0,1164.0477
2025-03-12,1165.0,1184.7257
2025-03-13,1150.0,1179.0931
2025-03-14,1150.0,1166.195
2025-03-17,1150.0,1158.4525
2025-03-18,1150.0,1154.929
2025-03-19,1205.0,1153.9844
2025-03-20,1130.0,1185.0657
2025-03-21,1125.0,1162.125
2025-03-24,1080.0,1143.0543
2025-03-25,1055.0,1107.3861
2025-03-26,1055.0,1074.0771
2025-03-27,1110.0,1057.8645
2025-03-28,,1082.9423
